date,action,fee,equity_before
2020-04-08,BUY,5.0,10000.0
2020-05-05,SELL,4.89,9786.82
2020-05-13,BUY,4.98,9965.95
2020-05-22,SELL,4.66,9310.97
2020-10-13,BUY,4.59,9177.85
2020-11-18,SELL,3.98,7958.89
2021-02-19,BUY,3.92,7846.75
2021-04-19,SELL,3.92,7831.99
2021-04-26,BUY,3.86,7719.35
2021-06-22,SELL,3.62,7247.12
2021-08-23,BUY,3.56,7115.33
2021-09-07,SELL,3.34,6678.99
2022-04-20,BUY,3.26,6518.56
2022-05-09,SELL,2.99,5980.73
2022-06-09,BUY,2.96,5923.05
2022-09-01,SELL,2.86,5729.58
2022-09-19,BUY,2.98,5961.34
2022-11-02,SELL,2.64,5277.23
2022-12-08,BUY,2.63,5269.96
2023-01-18,SELL,2.48,4953.59
